Gene	Family Member	PMID	Species	Organ	Tissues/Cell line	Experiment	# Replicates	Control	Quality/Fold Change
Aip	E2f2	20573986	Mouse	Blood	T-Lymphocytes 	ChIP	3	NA	
Ahr	E2f2	20573986	Mouse	Blood	T-Lymphocytes	ChIP	3	NA	
Arnt	E2f2	20573986	Mouse	Blood	T-Lymphocytes	ChIP	3	NA	
Ahrr	E2f2	20573986	Mouse	Blood	T-Lymphocytes	ChIP	3	NA	
Ahr	E2f2	20573986	Mouse	Blood	T-Lymphocytes	Western Blot	3	WT	Low
Arnt	E2f2	20573986	Mouse	Blood	T-Lymphocytes	Western Blot	3	WT	High
Ahr	E2f2	20573986	Mouse	Blood	T-Lymphocytes	Real-Time PCR	2	WT	High/2
Ahrr	E2f2	20573986	Mouse	Blood	T-Lymphocytes	Real-Time PCR	2	WT	High/-2
Ahr	E2f2	20573986	Mouse	Blood	T-Lymphocytes	Western Blot	2	WT	High
Arnt	E2f2	20573986	Mouse	Blood	T-Lymphocytes	Western Blot	2	WT	High
Cyp1a1	E2f2	20573986	Mouse	Blood	T-Lymphocytes	Real-Time PCR	NA	WT	Medium/1.8 
Bax	E2f2	20573986	Mouse	Blood	T-Lymphocytes	Real-Time PCR	NA	WT	Medium/1.7
FasL	E2f2	20573986	Mouse	Blood	T-Lymphocytes	Real-Time PCR	NA	WT	High/2.6
Apaf1	E2f1	18951482	Mouse	Eye	661W	ChIP	NA	No treatment with TSA	High/2
APAF1	E2f1	11159908	Human	Bone	U2OS	Northern Blot	NA	NA	NA
CCNE1	E2f1	11159908	Human	Embryo	WI-38 	Northern Blot	NA	NA	High
APAF1	E2f1	11159908	Human	Embryo	WI-38 	Northern Blot	NA	NA	High
BCL3	E2f1	11159908	Human	Embryo	WI-38 	Northern Blot	NA	NA	High
CASP3	E2f1	11159908	Human	Embryo	WI-38 	Northern Blot	NA	NA	High
CASP7	E2f1	11159908	Human	Embryo	WI-38 	Northern Blot	NA	NA	Medium 
MAP3K5	E2f1	11159908	Human	Embryo	WI-38 	Northern Blot	NA	NA	Medium
APAF1	E2f1	11159908	Human	Bone	U2OS	Microarray	NA	NA	NA
ARGLU1	E2f7	22180533	Human	Uterus	HeLa 	Microarray	NA	NA	NA
ASF1B	E2f6	17328667	Human	Uterus	HeLa 	ChIP	NA	GAPDH 	High/2.6
Ask	E2f1	12015319	Mouse	Bone marrow	BaF3	EMSA	NA	NA	NA
Ask	E2f1	12015319	Mouse	Embryo	NIH3T3	Reporter Gene Assay	NA	pAK-1	Low/-1.2
Ask	E2f1	12015319	Mouse	Bone marrow	BaF3	Reporter Gene Assay	NA	pAK-1 (WT)	Medium/-1.5
Ask	E2f1	12015319	Mouse	Bone marrow	BaF3	Northern Blot	NA	Adenovirus-E2f1 vs Adenovirus-Con	High
TopoII	E2f4	11799067	Human	Embryo	WI-38 	ChIP	NA	Input	High/2
MAD2	E2f4	11799067	Human	Embryo	WI-38 	ChIP	NA	Input	High/3.5
MAD2	E2f1	11799067	Human	Embryo	WI-38 	ChIP	NA	Input	Medium/2
RAD54	E2f4	11799067	Human	Embryo	WI-38 	ChIP	NA	Input	High/3.5
RAD54	E2f1	11799067	Human	Embryo	WI-38 	ChIP	NA	Input	Medium/1.8
BARD1	E2f4	11799067	Human	Embryo	WI-38 	ChIP	NA	Input	High/2.5
BARD1	E2f1	11799067	Human	Embryo	WI-38 	ChIP	NA	Input	Medium/1.5
Chk1	E2f4	11799067	Human	Embryo	WI-38 	ChIP	NA	Input	High/2.5
MLH1	E2f4	11799067	Human	Embryo	WI-38 	ChIP	NA	Input	Medium/1.5
MSH2	E2f4	11799067	Human	Embryo	WI-38 	ChIP	NA	Input	High/1.8
MSH2	E2f1	11799067	Human	Embryo	WI-38 	ChIP	NA	Input	Low/1.2
Atm	E2f1	12527885	Mouse	Embryo	NIH3T3	Reporter Gene Assay	NA	WT E2f1	High/-5
Atm	E2f1	12527885	Mouse	Embryo	NIH3T3	Reporter Gene Assay	NA	 WT ATM-Luc	High/-3.5
BUB1	E2f3	11821956	Rat	NA	Rat1a	Western Blot	NA	Rat1a Empty Vector	High/3
KRP2	E2f1	11821956	Rat	NA	Rat1a	Western Blot	NA	Rat1a Empty Vector	High/3.5
Sak-a	E2f3	11821956	Rat	NA	Rat1a	Western Blot	NA	Rat1a Empty Vector	High/3
Sak-a	E2f1	11821956	Rat	NA	Rat1a	Western Blot	NA	Rat1a Empty Vector	High/2
EB-1	E2f1	11821956	Rat	NA	Rat1a	Western Blot	NA	Rat1a Empty Vector	High/2.5
EB-1	E2f3	11821956	Rat	NA	Rat1a	Western Blot	NA	Rat1a Empty Vector	High/4
MSH2	E2f1	11821956	Rat	NA	Rat1a	Western Blot	NA	Rat1a Empty Vector	High/3
MSH2	E2f3	11821956	Rat	NA	Rat1a	Western Blot	NA	Rat1a Empty Vector	High/3
MSH6	E2f1	11821956	Rat	NA	Rat1a	Western Blot	NA	Rat1a Empty Vector	High/2
MSH6	E2f3	11821956	Rat	NA	Rat1a	Western Blot	NA	Rat1a Empty Vector	High/2
UNG	E2f1	11821956	Rat	NA	Rat1a	Western Blot	NA	Rat1a Empty Vector	High/2
UNG	E2f3	11821956	Rat	NA	Rat1a	Western Blot	NA	Rat1a Empty Vector	High/3
Tyms	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.5
Tk1	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	5.3
