Gene	Family Member	PMID	Species	Organ	Tissues/Cell line	Experiment	# Replicates	Control	Quality/Fold Change
ATF4	C	12808131	HUMAN	Blood	Daudi	ChIP		magnetic beads, no antibody	medium
MARS	C	12808131	HUMAN	Blood	Daudi	ChIP		magnetic beads, no antibody	high
TIP110	C	23088399	HUMAN	Uterus	HeLa	ChIP		RNA polymerase II antibody as a positive control (L2); Rabbit IgG as negative control (L3), no antibody added as negative control (L4)	high
TIP110	C	23088399	HUMAN	Embryo	Embryonic Stem Cell	ChIP		RNA polymerase II antibody as a positive control (L2); Rabbit IgG as negative control (L3), no antibody added as negative control (L4)	high
TIP110	C	23088399	HUMAN	Embryo	NTero-2	ChIP		RNA polymerase II antibody as a positive control (L2); Rabbit IgG as negative control (L3), no antibody added as negative control (L4)	high
TIP110	C	23088399	HUMAN	Embryo	Embryonic Stem Cell	qPCR	3+	β-actin was used as a loading control	high/1.6
TIP110	C	23088399	HUMAN	Embryo	Ntero-2	qPCR	3+	β-actin was used as a loading control	high/1.6
TIP110	C	23088399	HUMAN	Embryo	Embryonic Stem Cell	Western Blot		β-actin	high
TIP110	C	23088399	HUMAN	Embryo	NTero-2	Western Blot		β-actin	high
TIP110	C	23088399	HUMAN	Uterus	HeLa	EMSA	10	Non-biotin labeled probe or C-MYC antibody	medium
TIP110	C	23088399	HUMAN	Embryo	Embryonic Stem Cell	EMSA	10	Non-biotin labeled probe or C-MYC antibody	medium
TIP110	C	23088399	HUMAN	Embryo	NTero-2	EMSA	10	Non-biotin labeled probe or C-MYC antibody	medium
TTP		22863009	MOUSE	Blood	P493-6 cells ± Tet	Western Blot		wild type vs Emu-TTP, Emu-Myc vs Emu-TTP,Emu-TS11B	high
TTP		22863009	MOUSE	Blood	HeLa	Western Blot		wild type vs Emu-TTP, Emu-Myc vs Emu-TTP,Emu-TS11B	high
TTP		22863009	MOUSE	Blood	bone marrow	Western Blot		wild type vs Emu-TTP, Emu-Myc vs Emu-TTP,Emu-TS11B	high
TTP		22863009	MOUSE	Blood	splenic B220+ B cells	Western Blot		wild type vs Emu-TTP, Emu-Myc vs Emu-TTP,Emu-TS11B	high
TTP	C	22863009	MOUSE	Blood	P493-6 cells ± Tet	ChIP		magnetic protein G beads	~3.5
TS11B	C	22863009	MOUSE	Blood	P493-6 cells ± Tet	ChIP		magnetic protein G beads	~3.5
TTP	C	22863009	MOUSE	Blood	P493-6 cells ± Tet	qPCR		Ubiquitin	
TS11B	C	22863009	MOUSE	Blood	P493-6 cells ± Tet	qPCR		Ubiquitin	
MAP4K1	C	22801218	HUMAN	Embryo	HEK293	Western Blot		GAPDH	medium
MAP4K1	C	22801218	HUMAN	Embryo	HEK293	qPCR	3,3	GEO-shLacZ/ ratio map4k1:GAPDH	~1.5
MAP4K1	C	22801218	HUMAN	Embryo	HEK293	ChIP		preimmune IgC	~8
MAP4K1	C	22801218	HUMAN	Embryo	HEK293	Reporter Gene Assay	5	0 ng c-Myc vector transfected	~2
HPV-16	C	22740717	HUMAN	Uterus	HeLa	ChIP	3+	Goat IgC	high
HPV-18	C	22740717	HUMAN	Uterus	HeLa	ChIP	3+	Goat IgC	high
HPV-16	C	22740717	HUMAN	Breast	eP5	Western Blot		tubulin	medium
HPV-18	C	22740717	HUMAN	Uterus	HeLa	Western Blot		tubulin	medium
HPV-18	C	22740717	HUMAN	Uterus	C33	Western Blot		tubulin	medium
PRPS2	C	11139609	HUMAN	Blood	P493-6	Northern Blot		Jnk cDNA	high
NM23-H1	C	11139609	HUMAN	Blood	P493-6	Northern Blot		Jnk cDNA	high
JTV-1	C	11139609	HUMAN	Blood	P493-6	Northern Blot		Jnk cDNA	high
p130	C	11139609	HUMAN	Blood	P493-6	Northern Blot		Jnk cDNA	high
EIF3	C	11139609	HUMAN	Blood	P493-6	Northern Blot		Jnk cDNA	high
B23	C	11604407	RAT	NA	Rat1 fibroblasts expressing a fusion protein of Myc and the human estrogen receptor	ChIP		TGR, H015, H015-myc	medium
B23	C	11604407	HUMAN	Skin	ATCC2091	ChIP		TGR, H015, H015-myc	medium
B23	C	11604407	HUMAN	Skin	ATCC2091	EMSA		noncanonical oligonucleotide	medium
B23	C	11604407	HUMAN	Skin	ATCC2091	Reporter Gene Assay		noncanonical oligonucleotide	medium
B23	C	11604407	HUMAN	NA	TGR	Northern Blot		36B4, vimentin loading controls	~3
B23	C	11604407	HUMAN	NA	HO15	Northern Blot		36B4, vimentin loading controls	~3
CAD	C	11983916	HUMAN	Uterus	HeLa	ChIP	3+	CDC25C antibody	~8
CDK4	C	11983916	HUMAN	Uterus	HeLa	ChIP	3+	CDC25C antibody	~7
MNT	C	11983916	HUMAN	Uterus	HeLa	ChIP	3+	CDC25C antibody	~6
PHBa	C	11983916	HUMAN	Uterus	HeLa	ChIP	3+	CDC25C antibody	~4
PHBb	C	11983916	HUMAN	Uterus	HeLa	ChIP	3+	CDC25C antibody	~7
CCNB1	C	11983916	HUMAN	Uterus	HeLa	ChIP	3+	CDC25C antibody	~15
CEB1	C	11983916	HUMAN	Uterus	HeLa	ChIP	3+	CDC25C antibody	~8
ODC	C	10655054	Human	Embryo	IMR-90	ChIP	3	Myc induced vs. not induced	Medium/1.9
