Gene	Family Member	PMID	Species	Organ	Tissues/Cell line	Experiment	# Replicates	Control	Quality/Fold Change
HSP90 beta	STAT3	9461509	human	Liver	HuH7 hepatoma	EMSA	1	wt  vs mutant competitors	high
HSP90 beta	STAT3	9461509	human	Liver	HuH7 hepatoma	reporter gene  assay	3	wt vs dominant negative STAT	medium
sIL-1ra	STAT6	8757327	mouse	NA	RAW264.7	EMSA	3	wt vs IL-4 induced STAT	high
OSM	STAT5b	10556323	human	Blood	U937 	EMSA	na	wt OSM vs expressed STAT5b 	high
OSM	STAT1	10556323	human	Blood	U937 	EMSA	na	wt OSM vs expressed STAT5b 	high
OSM	STAT3	10556323	human	Blood	U937 	EMSA	na	wt OSM vs expressed STAT5b 	high
OSM 	STAT5b	10556323	human	Blood	U937 	reporter gene  assay	na	wt OSM vs expressed STAT5b (expressed through gm-csf)	3
IL-2Ralpha	STAT4	10068671	human	Blood	T cells	emsa	3	wt vs expressed STAT(cytokine stimulation)	high
IL-2Ralpha	STAT3	10068671	human	Blood	T cells	emsa	3	wt vs expressed STAT(cytokine stimulation)	high
IL-2Ralpha	STAT1	10068671	human	Blood	T cells	emsa	3	wt vs expressed STAT(cytokine stimulation)	high
PIM1	STAT1	10068671	human	Blood	T cells	emsa	3	wt vs expressed STAT(cytokine stimulation)	high
PIM1	STAT3	10068671	human	Blood	T cells	emsa	3	wt vs expressed STAT(cytokine stimulation)	high
PIM1	STAT4	10068671	human	Blood	T cells	emsa	3	wt vs expressed STAT(cytokine stimulation)	high
IRF1	STAT1	10068671	human	Blood	T cells	emsa	3	wt vs expressed STAT(cytokine stimulation)	high
IRF1	STAT3	10068671	human	Blood	T cells	emsa	3	wt vs expressed STAT(cytokine stimulation)	high
IRF1	STAT4	10068671	human	Blood	T cells	emsa	3	wt vs expressed STAT(cytokine stimulation)	high
IFP53	STAT5	10068671	human	Blood	T cells	emsa	1	wt vs expressed STAT(cytokine stimulation)	high
