Mouse genes	Human genes
4732418C07Rik	KIAA0494
Kif21b	KIF21B
Rims3	RIMS3
Sdc3	SDC3
Tmed5	TMED5
Agrn	AGRN
E230028L10Rik	ANKRD65
Atad3a	ATAD3A
Aurkaip1	AURKAIP1
B3galt6	B3GALT6
9430015G10Rik	C1orf159
2310042D19Rik	C1orf170
2610002J02Rik	C1orf86
Ccnl2	CCNL2
Cdk11b	CDK11B
Cpsf3l	CPSF3L
Fam132a	FAM132A
Gltpd1	GLTPD1
Gnb1	GNB1
Isg15	ISG15
2010015L04Rik	KIAA1751
Klhl17	KLHL17
AI428898	LOC148413
B930041F14Rik	LOC643988
Mib2	MIB2
Morn1	MORN1
Mxra8	MXRA8
Nadk	NADK
Noc2l	NOC2L
Olfr268-ps1	OR4F16
Olfr1288	OR4F5
Plekhn1	PLEKHN1
Prkcz	PRKCZ
Pusl1	PUSL1
9930005F22Rik	RNF223
Samd11	SAMD11
Sdf4	SDF4
Slc35e2	SLC35E2B
Ssu72	SSU72
Tas1r3	TAS1R3
Gm5151	TMEM240
Tmem52	TMEM52
Tmem88b	TMEM88B
Ttll10	TTLL10
Ube2j2	UBE2J2
Vwa1	VWA1
Actrt2	ACTRT2
Ajap1	AJAP1
A430005L14Rik	C1orf174
Ccdc27	CCDC27
BC046331	CEP104
2810405K02Rik	FAM213B
Gm13111	FLJ42875
Hes5	HES5
1190007F08Rik	LOC388588
Lrrc47	LRRC47
Pank4	PANK4
Pex10	PEX10
Plch2	PLCH2
Tnfrsf14	TNFRSF14
Tprgl	TPRG1L
Camta1	CAMTA1
Dnajc11	DNAJC11
Espn	ESPN
Gpr153	GPR153
Hes2	HES2
Hes3	HES3
Klhl21	KLHL21
Nol9	NOL9
Phf13	PHF13
Plekhg5	PLEKHG5
Rnf207	RNF207
Rpl22	RPL22
Thap3	THAP3
Arhgef16	ARHGEF16
Dffa	DFFA
Dffb	DFFB
Gabrd	GABRD
Htr1d	HTR1D
Kcnab2	KCNAB2
Masp2	MASP2
Megf6	MEGF6
Mmp23	MMP23B
Mrpl20	MRPL20
Mthfr	MTHFR
Tnfrsf18	TNFRSF18
Trp73	TP73
Ube4b	UBE4B
Wdr8	WRAP73
Zbtb48	ZBTB48
Fbxo42	FBXO42
Gpr157	GPR157
Hspb7	HSPB7
Park7	PARK7
Per3	PER3
Prdm16	PRDM16
Rere	RERE
